BveTs Signal Aspects List 2.00
#四灯 YG
type1,Signal1L0,,Signal1L2,Signal1L3,Signal1L4,,
#,Signal1G0,,Signal1G2,Signal1G3,Signal1G4,,
#四灯 YY
type4,Signal4L0,Signal4L1,Signal4L2,,Signal4L4,,
#,Signal4G0,Signal4G1,Signal4G2,,Signal4G4,,
#预告
Rep0,Rep0,Rep1,Rep1,Rep1,Rep4,Rep4,
#RepGG,RepGGN,RepGGN,RepGGN,RepGGN,RepGGN,RepGG,
#入换信号机
SigI_LED,SigI0W_LED,,,SigI4_LED,,,
shunt,Sw_R_Y,,,,,Sw_Y,
#,Sw_R_R,,,,,Sw_Y,
shunt2,Sw_Off,,,,,Sw_On,
#,Sw_Off,,,,,Sw_On,
BveTs Signal Aspects List 2.00:shift_jis

#信号
#2灯式(GR型)
Type2gr,           Sig20,,,,                                           Sig24
       ,         Flare20,,,,                                         Flare24
#2灯式(YR型)
Type2yr,           Sig20,,                   Sig22,,
       ,         Flare20,,                 Flare22,,
#2灯式(従属信号)
Type2E,                 ,,                  Sig2E2,,                  Sig2E4
      ,                 ,,                Flare2E2,,                 Flare24
#3灯式
Type3,             Sig30,,                   Sig32,,                   Sig34
     ,           Flare30,,                 Flare32,,                 Flare34
#3灯式(背板無し)
Type3bn,        Sig30_BN,,                Sig32_BN,,                Sig34_BN
       ,         Flare30,,                 Flare32,,                 Flare34
#3灯式(GR型)
Type3gr,         Sig3Yx0,,,,                                         Sig3Yx4
       ,         Flare30,,,,                                         Flare34
#3灯式(YR型)
Type3yr,         Sig3Gx0,,                 Sig3Gx2,,
       ,         Flare30,,                 Flare22,,
#4灯式(警戒)
Type4yy,         Sig4yy0,     Sig4yy1,     Sig4yy2,,                 Sig4yy4
       ,       Flare4yy0,   Flare4yy1,   Flare4yy2,,               Flare4yy4
#4灯式(減速)
Type4yg,         Sig4yy0,,                 Sig4yg2,     Sig4yg3,     Sig4yg4
       ,       Flare4yy0,,               Flare4yg2,   Flare4yg3,   Flare4yg4
#4灯式(遠方)
Type4E,                 ,,                  Sig4E2,      Sig4E3,      Sig4E4
      ,                 ,,               Flare4yg2,   Flare4yg3,   Flare4yg4
#5灯式
Type5,             Sig50,       Sig51,       Sig52,       Sig53,       Sig54
     ,           Flare50,     Flare51,     Flare52,     Flare53,     Flare54

#信号(LED式)
#手信号代用器
Type2t_LED,   Sig2T0_LED,,,,                                      Sig2T4_LED

#2灯式(GR型)
Type2gr_LED, Sig2GR0_LED,,,,                                     Sig2GR4_LED
           ,     Flare20,,,,                                         Flare24
#2灯式(YR型)
Type2yr_LED, Sig2YR0_LED,,             Sig2YR2_LED,,
           ,     Flare20,,                 Flare22,,
#2灯式(従属信号)
Type2E_LED,             ,,              Sig2E2_LED,,              Sig2E4_LED
          ,             ,,                Flare2E2,,                 Flare24
#3灯式
Type3_LED,     Sig30_LED,,               Sig32_LED,,               Sig34_LED
         ,       Flare30,,                 Flare32,,                 Flare34
#3灯式(GR型)
Type3gr_LED, Sig3Yx0_LED,,,,                                     Sig3Yx4_LED
           ,     Flare30,,,,                                         Flare34
#3灯式(YR型)
Type3yr_LED, Sig3Gx0_LED,,             Sig3Gx2_LED,,
           ,     Flare30,,                 Flare22,,
#4灯式(警戒)
Type4yy_LED, Sig4yy0_LED, Sig4yy1_LED, Sig4yy2_LED,,             Sig4yy4_LED
           ,   Flare4yy0,   Flare4yy1,   Flare4yy2,,               Flare4yy4
#4灯式(減速)
Type4yg_LED, Sig4yg0_LED,,             Sig4yg2_LED, Sig4yg3_LED, Sig4yg4_LED
           ,   Flare4yy0,,               Flare4yg2,   Flare4yg3,   Flare4yg4
#4灯式(遠方)
Type4E_LED,             ,,                  Sig4E2,      Sig4E3,      Sig4E4
          ,             ,,               Flare4yg2,   Flare4yg3,   Flare4yg4
#5灯式
Type5_LED,     Sig50_LED,   Sig51_LED,   Sig52_LED,   Sig53_LED,   Sig54_LED
         ,       Flare50,     Flare51,     Flare52,     Flare53,     Flare54

#信号
#中継信号
Relay,        Relay0,        Relay1,                  ,               ,    Relay4
            ,FlareR0,       FlareR1,                  ,               ,   FlareR4

#中継信号(LED式)
Relay_LED,   Relay0_LED,  Relay1_LED,                 ,               ,Relay4_LED
            ,FlareR0,        FlareR1,                 ,               ,   FlareR4


track,Track_N,,,,,Track_2,
#,Track_N,,,,,Track_2,
